customer_id,age,gender,city_tier,join_date,segment,price_sensitivity_score,loyalty_tier,preferred_channel,discount_affinity_label
CUST00047,25,Female,Tier 2,2021-08-09,Regular,2.32,Silver,App,Healthy
CUST00048,32,Female,Tier 2,2023-02-21,Regular,1.27,Gold,App,Healthy
CUST00049,35,Male,Tier 3,2021-12-11,Regular,4.44,Silver,App,Healthy
CUST00050,22,Female,Tier 2,2021-04-15,Regular,6.87,Silver,In-Store,At-Risk
CUST00051,18,Male,Tier 3,2021-04-05,Regular,5.94,Silver,App,At-Risk
CUST00052,37,Male,Tier 3,2022-01-25,Budget,10.0,Bronze,App,Addicted
CUST00053,29,Male,Tier 2,2021-04-10,Budget,8.43,Bronze,In-Store,Addicted
CUST00054,27,Male,Tier 2,2022-01-03,Regular,6.99,Silver,App,At-Risk
CUST00055,50,Male,Tier 1,2023-05-18,Premium,2.04,Gold,In-Store,Healthy
CUST00056,26,Female,Tier 2,2021-12-19,Regular,6.27,Gold,Website,At-Risk
CUST00057,31,Male,Tier 2,2022-09-11,Regular,6.54,Silver,App,At-Risk
CUST00058,20,Female,Tier 2,2021-09-28,Regular,6.53,Bronze,App,At-Risk
CUST00059,37,Female,Tier 1,2023-04-07,Regular,6.27,Bronze,App,At-Risk
CUST00060,27,Female,Tier 2,2021-02-14,Regular,6.12,Silver,App,At-Risk
CUST00061,38,Male,Tier 1,2023-01-18,Premium,3.87,Silver,Website,Healthy
CUST00062,27,Female,Tier 1,2022-04-16,Premium,3.06,Silver,In-Store,Healthy
CUST00063,44,Female,Tier 1,2022-07-04,Premium,2.6,Silver,In-Store,Healthy
CUST00064,42,Male,Tier 2,2021-05-08,Regular,4.35,Bronze,In-Store,Healthy
CUST00065,32,Female,Tier 3,2022-01-23,Budget,9.29,Silver,Website,Addicted
CUST00066,48,Male,Tier 3,2021-03-22,Regular,5.38,Bronze,App,At-Risk
CUST00067,38,Male,Tier 3,2022-07-20,Budget,7.66,Bronze,App,Addicted
CUST00068,33,Female,Tier 2,2021-10-28,Budget,7.05,Bronze,Website,At-Risk
CUST00069,34,Female,Tier 1,2023-04-30,Regular,5.95,Silver,App,At-Risk
CUST00070,24,Female,Tier 1,2022-10-06,Premium,3.29,Silver,App,Healthy
CUST00071,37,Male,Tier 1,2022-09-26,Budget,8.4,Bronze,App,Addicted
CUST00072,28,Female,Tier 3,2023-06-26,Regular,6.87,Silver,In-Store,At-Risk
CUST00073,26,Female,Tier 3,2023-06-02,Budget,8.53,Bronze,App,Addicted
CUST00074,32,Male,Tier 2,2022-01-06,Regular,1.1,Silver,App,Healthy
CUST00075,38,Male,Tier 2,2022-08-15,Regular,6.25,Bronze,App,At-Risk
CUST00076,25,Male,Tier 3,2021-07-16,Regular,5.51,Bronze,In-Store,At-Risk
CUST00077,37,Female,Tier 1,2022-12-23,Regular,5.98,Bronze,Website,At-Risk
CUST00078,35,Female,Tier 2,2021-03-13,Regular,5.09,Silver,In-Store,At-Risk
CUST00079,61,Male,Tier 1,2021-02-16,Premium,2.69,Gold,Website,Healthy
CUST00080,25,Female,Tier 1,2022-11-09,Budget,10.0,Bronze,Website,Addicted
CUST00081,46,Female,Tier 2,2021-08-22,Regular,2.46,Bronze,In-Store,Healthy
CUST00082,28,Female,Tier 2,2023-03-03,Budget,7.52,Bronze,In-Store,Addicted
CUST00083,49,Male,Tier 3,2021-10-24,Regular,3.85,Silver,In-Store,Healthy
CUST00084,29,Male,Tier 3,2021-03-23,Budget,10.0,Bronze,App,Addicted
CUST00085,35,Male,Tier 3,2023-05-26,Budget,10.0,Bronze,Website,Addicted
CUST00086,35,Male,Tier 1,2021-08-27,Budget,9.59,Bronze,Website,Addicted
CUST00087,18,Female,Tier 1,2023-06-07,Budget,8.04,Bronze,Website,Addicted
CUST00088,50,Female,Tier 3,2021-04-14,Budget,7.47,Bronze,App,At-Risk
CUST00089,42,Male,Tier 2,2022-01-25,Regular,2.92,Gold,App,Healthy
CUST00090,51,Female,Tier 2,2021-10-12,Regular,4.53,Silver,App,Healthy
CUST00091,53,Female,Tier 2,2022-04-10,Regular,6.6,Bronze,App,At-Risk
CUST00092,35,Male,Tier 3,2022-10-13,Regular,6.93,Silver,In-Store,At-Risk
CUST00093,18,Male,Tier 2,2023-05-05,Regular,4.16,Gold,App,Healthy
CUST00094,33,Male,Tier 1,2022-01-09,Premium,2.25,Silver,App,Healthy
CUST00095,34,Male,Tier 2,2021-06-16,Regular,2.55,Gold,App,Healthy
CUST00096,46,Male,Tier 1,2022-01-15,Premium,2.59,Gold,Website,Healthy
CUST00097,28,Female,Tier 2,2021-12-30,Budget,8.21,Gold,Website,Addicted
CUST00098,20,Male,Tier 1,2021-08-03,Budget,9.86,Bronze,App,Addicted
CUST00099,42,Female,Tier 1,2022-11-18,Premium,2.88,Gold,Website,Healthy
CUST00100,44,Male,Tier 2,2021-10-01,Regular,5.16,Bronze,App,At-Risk
CUST00101,41,Male,Tier 2,2022-12-20,Regular,5.79,Gold,Website,At-Risk
CUST00102,38,Male,Tier 1,2022-12-01,Premium,3.42,Gold,App,Healthy
CUST00103,27,Female,Tier 1,2022-10-26,Budget,10.0,Bronze,Website,Addicted
CUST00104,22,Female,Tier 2,2021-03-15,Regular,2.78,Silver,Website,Healthy
CUST00105,22,Female,Tier 1,2022-09-16,Regular,5.27,Silver,App,At-Risk
CUST00106,32,Male,Tier 3,2022-10-13,Budget,7.95,Silver,App,Addicted
CUST00107,27,Female,Tier 1,2021-06-25,Regular,4.57,Gold,App,Healthy
CUST00108,29,Male,Tier 2,2022-07-01,Regular,5.69,Bronze,App,At-Risk
CUST00109,28,Female,Tier 1,2023-01-17,Budget,8.02,Bronze,Website,Addicted
CUST00110,44,Male,Tier 1,2021-09-08,Budget,7.93,Silver,App,Addicted
CUST00111,18,Female,Tier 1,2021-06-17,Budget,7.5,Silver,App,Addicted
CUST00112,35,Male,Tier 2,2022-04-19,Regular,5.79,Gold,App,At-Risk
CUST00113,47,Female,Tier 1,2022-01-24,Budget,7.13,Bronze,Website,At-Risk
CUST00114,28,Female,Tier 2,2021-10-04,Regular,5.14,Bronze,In-Store,At-Risk
CUST00115,39,Female,Tier 3,2022-10-18,Regular,4.13,Gold,Website,Healthy
CUST00116,27,Male,Tier 3,2022-12-06,Regular,4.76,Bronze,App,Healthy
CUST00117,39,Female,Tier 2,2022-07-25,Regular,5.71,Silver,App,At-Risk
CUST00118,29,Male,Tier 3,2021-08-13,Budget,7.45,Bronze,App,At-Risk
CUST00119,35,Female,Tier 1,2022-12-03,Budget,9.1,Bronze,In-Store,Addicted
CUST00120,55,Female,Tier 2,2021-11-29,Regular,2.05,Bronze,App,Healthy
CUST00121,39,Female,Tier 2,2023-05-14,Regular,5.8,Bronze,App,At-Risk
CUST00122,30,Male,Tier 2,2023-02-26,Regular,3.24,Bronze,Website,Healthy
CUST00123,40,Female,Tier 2,2023-03-06,Budget,8.39,Silver,App,Addicted
CUST00124,39,Male,Tier 2,2021-02-27,Budget,8.18,Silver,Website,Addicted
CUST00125,45,Male,Tier 2,2021-08-23,Regular,5.88,Silver,App,At-Risk
CUST00126,51,Male,Tier 3,2023-04-22,Budget,7.75,Bronze,In-Store,Addicted
CUST00127,38,Female,Tier 2,2021-02-02,Regular,6.5,Gold,In-Store,At-Risk
CUST00128,21,Female,Tier 2,2023-04-05,Budget,8.27,Bronze,App,Addicted
CUST00129,57,Female,Tier 2,2021-11-20,Budget,7.63,Bronze,Website,Addicted
CUST00130,51,Male,Tier 1,2022-02-15,Budget,9.86,Bronze,In-Store,Addicted
CUST00131,35,Male,Tier 2,2021-10-02,Regular,4.59,Gold,Website,Healthy
CUST00132,48,Female,Tier 1,2021-03-09,Premium,4.0,Gold,In-Store,Healthy
CUST00133,19,Male,Tier 2,2021-08-05,Regular,6.07,Silver,App,At-Risk
CUST00134,19,Female,Tier 1,2022-08-04,Regular,6.49,Silver,App,At-Risk
CUST00135,57,Other,Tier 1,2023-06-17,Regular,6.97,Gold,App,At-Risk
CUST00136,48,Female,Tier 2,2023-01-06,Regular,1.77,Bronze,Website,Healthy
CUST00137,35,Male,Tier 1,2021-11-19,Budget,9.08,Silver,App,Addicted
CUST00138,34,Female,Tier 2,2021-08-06,Regular,6.08,Gold,Website,At-Risk
CUST00139,18,Male,Tier 2,2022-11-03,Budget,7.04,Silver,In-Store,At-Risk
CUST00140,48,Female,Tier 3,2022-05-27,Regular,5.86,Silver,App,At-Risk
CUST00141,46,Female,Tier 1,2022-02-10,Premium,3.0,Gold,App,Healthy
CUST00142,50,Female,Tier 1,2023-06-25,Budget,8.2,Silver,App,Addicted
CUST00143,32,Male,Tier 2,2022-10-21,Budget,8.7,Bronze,Website,Addicted
CUST00144,30,Male,Tier 1,2022-04-15,Premium,3.64,Bronze,App,Healthy
CUST00145,38,Male,Tier 2,2021-05-27,Budget,9.03,Bronze,App,Addicted
CUST00146,19,Female,Tier 2,2021-09-29,Budget,7.31,Silver,App,At-Risk
CUST00147,18,Male,Tier 1,2021-05-23,Budget,10.0,Bronze,In-Store,Addicted
CUST00148,55,Male,Tier 2,2021-09-10,Budget,9.05,Bronze,App,Addicted
CUST00149,38,Female,Tier 2,2023-02-02,Regular,3.32,Gold,In-Store,Healthy
CUST00150,18,Male,Tier 2,2022-07-29,Regular,3.55,Silver,In-Store,Healthy
CUST00151,37,Female,Tier 1,2022-07-06,Regular,5.99,Silver,App,At-Risk
CUST00152,23,Female,Tier 1,2021-09-27,Premium,3.23,Bronze,Website,Healthy
CUST00153,54,Male,Tier 1,2023-02-04,Budget,9.23,Bronze,Website,Addicted
CUST00154,47,Male,Tier 1,2022-08-22,Premium,2.5,Silver,Website,Healthy
CUST00155,27,Male,Tier 1,2022-03-15,Regular,5.2,Bronze,Website,At-Risk
CUST00156,18,Female,Tier 2,2022-08-21,Budget,7.97,Bronze,App,Addicted
CUST00157,28,Female,Tier 2,2022-02-13,Budget,7.37,Silver,App,At-Risk
CUST00158,36,Female,Tier 1,2022-01-06,Budget,7.55,Bronze,App,Addicted
CUST00159,43,Female,Tier 3,2021-08-13,Budget,8.75,Silver,App,Addicted
CUST00160,28,Female,Tier 1,2021-05-22,Budget,10.0,Silver,App,Addicted
CUST00161,37,Female,Tier 3,2022-06-06,Budget,9.09,Bronze,Website,Addicted
CUST00162,18,Male,Tier 3,2022-05-21,Regular,5.75,Silver,In-Store,At-Risk
CUST00163,40,Male,Tier 1,2021-04-04,Regular,6.11,Bronze,Website,At-Risk
CUST00164,37,Female,Tier 1,2023-02-13,Budget,9.32,Bronze,Website,Addicted
CUST00165,35,Female,Tier 2,2021-02-18,Budget,8.46,Gold,App,Addicted
CUST00166,35,Male,Tier 1,2023-06-01,Premium,1.69,Silver,Website,Healthy
CUST00167,32,Female,Tier 2,2021-04-23,Budget,8.12,Silver,In-Store,Addicted
CUST00168,29,Female,Tier 2,2021-06-06,Regular,4.1,Gold,App,Healthy
CUST00169,35,Male,Tier 3,2022-10-05,Budget,9.69,Bronze,Website,Addicted
CUST00170,47,Female,Tier 2,2021-06-13,Regular,5.32,Silver,In-Store,At-Risk
CUST00171,29,Male,Tier 2,2023-03-23,Budget,8.64,Silver,App,Addicted
CUST00172,52,Male,Tier 1,2022-11-28,Premium,3.67,Gold,App,Healthy
CUST00173,34,Female,Tier 2,2022-03-09,Budget,7.12,Silver,Website,At-Risk
CUST00174,37,Female,Tier 1,2022-09-03,Regular,4.76,Bronze,Website,Healthy
CUST00175,21,Female,Tier 3,2021-03-07,Regular,5.59,Bronze,Website,At-Risk
CUST00176,39,Male,Tier 2,2022-01-30,Regular,3.08,Gold,App,Healthy
CUST00177,27,Female,Tier 1,2022-01-26,Budget,10.0,Bronze,In-Store,Addicted
CUST00178,49,Female,Tier 1,2022-09-03,Regular,4.57,Bronze,App,Healthy
CUST00179,28,Female,Tier 1,2022-04-25,Regular,6.83,Silver,App,At-Risk
CUST00180,42,Female,Tier 3,2022-06-26,Regular,4.89,Gold,In-Store,Healthy
CUST00181,38,Male,Tier 2,2021-09-15,Regular,5.96,Gold,App,At-Risk
CUST00182,39,Male,Tier 1,2022-07-21,Budget,7.51,Bronze,App,Addicted
CUST00183,28,Female,Tier 3,2023-06-01,Budget,7.96,Bronze,Website,Addicted
CUST00184,37,Male,Tier 2,2021-01-12,Budget,7.1,Bronze,In-Store,At-Risk
CUST00185,42,Female,Tier 3,2022-11-28,Budget,10.0,Bronze,Website,Addicted
CUST00186,48,Male,Tier 2,2023-01-09,Regular,6.57,Bronze,In-Store,At-Risk
CUST00187,32,Female,Tier 2,2021-04-28,Budget,7.69,Silver,Website,Addicted
CUST00188,36,Female,Tier 2,2022-11-30,Regular,1.06,Silver,In-Store,Healthy
CUST00189,18,Male,Tier 2,2023-06-26,Regular,6.86,Bronze,Website,At-Risk
CUST00190,43,Female,Tier 2,2022-07-04,Budget,9.67,Silver,In-Store,Addicted
CUST00191,29,Female,Tier 2,2023-02-08,Budget,8.37,Silver,App,Addicted
CUST00192,37,Other,Tier 2,2021-10-01,Regular,1.41,Bronze,In-Store,Healthy
CUST00193,28,Male,Tier 3,2023-02-27,Regular,3.72,Gold,Website,Healthy
CUST00194,39,Male,Tier 3,2022-10-19,Budget,8.65,Bronze,In-Store,Addicted
CUST00195,18,Male,Tier 1,2021-12-15,Budget,9.15,Bronze,App,Addicted
CUST00196,18,Female,Tier 2,2021-04-25,Budget,7.89,Silver,App,Addicted
CUST00197,42,Male,Tier 2,2021-10-28,Regular,6.75,Silver,In-Store,At-Risk
CUST00198,33,Male,Tier 2,2022-03-22,Budget,9.05,Silver,App,Addicted
CUST00199,19,Male,Tier 3,2021-06-11,Budget,7.76,Bronze,In-Store,Addicted
CUST00200,52,Female,Tier 3,2022-04-10,Budget,9.44,Bronze,Website,Addicted
CUST00201,37,Male,Tier 3,2021-01-04,Regular,6.83,Gold,Website,At-Risk
CUST00202,43,Male,Tier 2,2023-01-10,Regular,2.8,Silver,Website,Healthy
CUST00203,45,Male,Tier 2,2023-06-16,Regular,5.1,Gold,App,At-Risk
CUST00204,27,Female,Tier 2,2023-01-07,Budget,7.4,Silver,In-Store,At-Risk
CUST00205,23,Female,Tier 1,2021-09-27,Budget,10.0,Silver,Website,Addicted
CUST00206,34,Male,Tier 2,2022-05-28,Regular,6.04,Gold,Website,At-Risk
CUST00207,32,Male,Tier 1,2023-02-20,Premium,1.71,Gold,Website,Healthy
CUST00208,26,Male,Tier 2,2021-07-02,Budget,9.21,Silver,App,Addicted
CUST00209,51,Female,Tier 1,2022-06-04,Budget,9.43,Silver,Website,Addicted
CUST00210,46,Male,Tier 3,2021-04-19,Budget,8.93,Bronze,Website,Addicted
CUST00211,50,Female,Tier 2,2023-06-11,Regular,6.79,Silver,App,At-Risk
CUST00212,37,Female,Tier 1,2022-10-03,Premium,3.22,Gold,App,Healthy
CUST00213,41,Female,Tier 2,2021-11-02,Regular,5.48,Silver,App,At-Risk
CUST00214,28,Male,Tier 3,2023-05-12,Budget,10.0,Bronze,Website,Addicted
CUST00215,31,Male,Tier 3,2022-10-17,Budget,9.04,Bronze,App,Addicted
CUST00216,18,Female,Tier 2,2022-06-04,Budget,10.0,Gold,Website,Addicted
CUST00217,55,Male,Tier 2,2022-09-16,Budget,8.86,Bronze,App,Addicted
CUST00218,29,Female,Tier 2,2021-07-23,Budget,10.0,Silver,Website,Addicted
CUST00219,27,Male,Tier 2,2021-06-06,Budget,10.0,Silver,In-Store,Addicted
CUST00220,39,Male,Tier 1,2022-01-18,Budget,8.69,Bronze,In-Store,Addicted
CUST00221,44,Male,Tier 2,2023-02-20,Regular,6.34,Gold,In-Store,At-Risk
CUST00222,18,Female,Tier 1,2021-06-15,Budget,7.91,Silver,App,Addicted
CUST00223,34,Female,Tier 1,2022-07-07,Premium,1.66,Gold,App,Healthy
CUST00224,40,Female,Tier 3,2023-03-09,Regular,6.38,Silver,Website,At-Risk
CUST00225,30,Male,Tier 1,2022-06-28,Budget,7.63,Bronze,Website,Addicted
CUST00226,30,Male,Tier 3,2021-01-01,Budget,7.77,Bronze,App,Addicted
CUST00227,34,Male,Tier 2,2022-09-06,Budget,9.43,Gold,Website,Addicted
CUST00228,34,Male,Tier 3,2021-11-28,Regular,5.35,Silver,App,At-Risk
CUST00229,45,Female,Tier 2,2022-05-16,Regular,5.64,Silver,App,At-Risk
CUST00230,39,Male,Tier 1,2021-01-20,Premium,3.77,Silver,Website,Healthy
CUST00231,27,Female,Tier 3,2021-04-25,Regular,5.09,Silver,In-Store,At-Risk
CUST00232,57,Female,Tier 2,2022-01-07,Regular,5.47,Silver,Website,At-Risk
CUST00233,48,Female,Tier 1,2023-06-19,Regular,6.93,Silver,App,At-Risk
CUST00234,49,Other,Tier 2,2023-05-02,Budget,9.99,Gold,App,Addicted
CUST00235,38,Male,Tier 2,2023-04-07,Budget,7.65,Bronze,App,Addicted
CUST00236,40,Female,Tier 2,2021-11-11,Budget,8.27,Bronze,App,Addicted
CUST00237,33,Male,Tier 2,2021-09-03,Regular,1.05,Silver,App,Healthy
CUST00238,36,Male,Tier 2,2021-03-01,Regular,4.5,Silver,App,Healthy
CUST00239,54,Female,Tier 2,2021-09-04,Regular,5.17,Silver,Website,At-Risk
CUST00240,47,Male,Tier 2,2023-06-19,Regular,1.23,Silver,App,Healthy
CUST00241,47,Female,Tier 2,2022-08-04,Budget,7.88,Bronze,In-Store,Addicted
CUST00242,64,Female,Tier 1,2021-03-22,Premium,2.76,Gold,In-Store,Healthy
CUST00243,36,Male,Tier 1,2021-03-29,Budget,9.41,Bronze,Website,Addicted
CUST00244,34,Female,Tier 1,2023-01-20,Premium,3.56,Gold,Website,Healthy
CUST00245,46,Male,Tier 2,2022-05-13,Regular,3.45,Silver,App,Healthy
CUST00246,18,Female,Tier 2,2023-04-16,Regular,3.63,Silver,App,Healthy
CUST00247,18,Female,Tier 3,2021-03-12,Budget,7.85,Bronze,App,Addicted
CUST00248,40,Female,Tier 2,2023-02-18,Budget,9.56,Bronze,In-Store,Addicted
CUST00249,26,Female,Tier 2,2022-06-30,Regular,5.7,Bronze,App,At-Risk
CUST00250,27,Female,Tier 1,2023-02-24,Budget,9.02,Silver,App,Addicted
CUST00251,26,Male,Tier 2,2021-05-09,Regular,6.07,Silver,Website,At-Risk
CUST00252,38,Male,Tier 3,2021-05-12,Regular,4.45,Gold,Website,Healthy
CUST00253,46,Female,Tier 1,2022-11-07,Regular,4.52,Silver,In-Store,Healthy
CUST00254,61,Male,Tier 1,2022-05-02,Budget,7.26,Bronze,Website,At-Risk
CUST00255,41,Female,Tier 1,2022-07-17,Premium,1.71,Gold,App,Healthy
CUST00256,54,Male,Tier 2,2021-06-19,Regular,3.04,Silver,Website,Healthy
CUST00257,37,Male,Tier 3,2021-09-29,Budget,8.36,Bronze,App,Addicted
CUST00258,18,Female,Tier 2,2022-06-25,Budget,10.0,Bronze,Website,Addicted
CUST00259,26,Female,Tier 2,2023-06-13,Budget,10.0,Silver,App,Addicted
CUST00260,34,Female,Tier 2,2022-09-14,Regular,1.87,Silver,App,Healthy
CUST00261,48,Male,Tier 3,2022-03-10,Regular,4.61,Silver,In-Store,Healthy
CUST00262,42,Female,Tier 3,2021-08-05,Budget,7.36,Bronze,Website,At-Risk
CUST00263,37,Female,Tier 1,2022-07-07,Budget,8.43,Bronze,App,Addicted
CUST00264,31,Male,Tier 2,2023-02-13,Regular,3.37,Silver,In-Store,Healthy
CUST00265,18,Female,Tier 2,2023-01-18,Regular,6.02,Silver,In-Store,At-Risk
CUST00266,41,Male,Tier 2,2022-12-08,Budget,9.93,Bronze,In-Store,Addicted
CUST00267,35,Female,Tier 2,2021-07-25,Budget,8.9,Bronze,Website,Addicted
CUST00268,33,Male,Tier 2,2023-01-01,Regular,1.73,Silver,Website,Healthy
CUST00269,35,Female,Tier 2,2021-11-16,Budget,8.4,Silver,In-Store,Addicted
CUST00270,34,Male,Tier 2,2022-02-13,Regular,6.46,Bronze,Website,At-Risk
CUST00271,22,Male,Tier 2,2022-11-19,Regular,2.61,Gold,In-Store,Healthy
CUST00272,31,Male,Tier 2,2022-10-28,Budget,9.69,Bronze,Website,Addicted
CUST00273,23,Female,Tier 2,2022-01-18,Regular,3.94,Silver,App,Healthy
CUST00274,33,Male,Tier 1,2022-03-25,Budget,8.03,Bronze,In-Store,Addicted
CUST00275,36,Male,Tier 3,2022-06-14,Regular,4.65,Gold,App,Healthy
CUST00276,30,Female,Tier 1,2022-04-08,Budget,7.23,Silver,In-Store,At-Risk
CUST00277,40,Male,Tier 2,2021-05-04,Regular,6.62,Silver,App,At-Risk
CUST00278,49,Male,Tier 3,2021-09-11,Regular,6.55,Gold,App,At-Risk
CUST00279,41,Female,Tier 3,2021-08-19,Regular,2.6,Silver,App,Healthy
CUST00280,44,Female,Tier 1,2021-03-07,Budget,7.84,Silver,App,Addicted
CUST00281,34,Female,Tier 1,2021-12-13,Regular,5.93,Silver,App,At-Risk
CUST00282,41,Female,Tier 2,2021-01-22,Regular,2.35,Silver,Website,Healthy
CUST00283,18,Female,Tier 2,2022-08-26,Budget,9.07,Bronze,Website,Addicted
CUST00284,18,Male,Tier 2,2022-07-22,Budget,8.19,Bronze,Website,Addicted
CUST00285,60,Female,Tier 2,2021-08-24,Budget,9.06,Bronze,App,Addicted
CUST00286,27,Female,Tier 2,2022-08-26,Regular,3.35,Bronze,Website,Healthy
CUST00287,30,Female,Tier 1,2021-08-14,Premium,1.11,Bronze,App,Healthy
CUST00288,37,Female,Tier 1,2021-01-08,Regular,4.15,Bronze,App,Healthy
CUST00289,49,Other,Tier 1,2021-03-14,Premium,1.19,Gold,App,Healthy
CUST00290,43,Male,Tier 3,2022-12-26,Budget,8.12,Bronze,App,Addicted
CUST00291,50,Other,Tier 2,2022-10-09,Regular,5.77,Gold,Website,At-Risk
CUST00292,41,Female,Tier 1,2021-03-02,Budget,9.82,Bronze,Website,Addicted
CUST00293,41,Male,Tier 1,2021-08-23,Regular,4.04,Bronze,App,Healthy
CUST00294,47,Female,Tier 2,2021-03-11,Regular,4.95,Silver,App,Healthy
CUST00295,32,Female,Tier 3,2021-02-02,Budget,8.31,Silver,In-Store,Addicted
CUST00296,31,Female,Tier 3,2023-05-31,Budget,10.0,Silver,Website,Addicted
CUST00297,40,Female,Tier 3,2021-12-05,Budget,8.41,Silver,In-Store,Addicted
CUST00298,43,Male,Tier 3,2021-03-14,Regular,2.89,Gold,Website,Healthy
CUST00299,28,Female,Tier 2,2022-06-11,Budget,9.57,Bronze,Website,Addicted
CUST00300,42,Female,Tier 2,2021-09-01,Regular,3.68,Silver,In-Store,Healthy
CUST00301,50,Male,Tier 1,2021-10-13,Regular,5.15,Gold,Website,At-Risk
CUST00302,43,Female,Tier 3,2022-11-17,Regular,3.39,Silver,App,Healthy
CUST00303,55,Female,Tier 2,2022-05-13,Regular,2.69,Silver,Website,Healthy
CUST00304,39,Female,Tier 1,2021-08-08,Budget,7.85,Gold,App,Addicted
CUST00305,33,Female,Tier 2,2022-07-07,Regular,2.34,Silver,In-Store,Healthy
CUST00306,40,Female,Tier 2,2021-05-16,Regular,5.04,Bronze,Website,At-Risk
CUST00307,18,Male,Tier 2,2023-01-11,Regular,2.03,Silver,Website,Healthy
CUST00308,18,Female,Tier 1,2023-06-23,Budget,7.29,Bronze,App,At-Risk
CUST00309,53,Female,Tier 2,2022-08-08,Regular,6.43,Silver,App,At-Risk
CUST00310,59,Male,Tier 3,2022-08-14,Regular,6.98,Gold,App,At-Risk
